L,g,E_exact,E_vmc_real,Var_E,Mean_Two_Point_Correlation,Var_Two_Point_Correlation,Exact_Two_Point_Correlation,Exact_Two_Point_Correlation_Variance,rel_error
12,1.62,-21.34160785073086,-21.341456931723954,0.0012258954776001375,0.02688720703125,0.21239312627514204,0.02752246851019759,0.21235273215666595,7.0715856069210135e-06
12,1.6,-21.126869699459853,-21.12658322219504,0.0004687075469886798,0.02916585286458333,0.2144746025926537,0.029736441966701842,0.21397059812338187,1.3559853820606661e-05
12,1.58,-20.912847383333123,-20.9126258332748,0.0005950777721677922,0.030879720052083334,0.21597813776797717,0.032162282120641476,0.21567740310500938,1.0593969069013311e-05
12,1.56,-20.699574438235658,-20.699584091432044,0.0008565912630763076,0.03373697916666667,0.21759337005615234,0.034823515957099614,0.21747902720185713,4.663475770983897e-07
12,1.54,-20.487086798835122,-20.487072099311774,0.0004113344246077428,0.037490234375,0.219240098645952,0.037746619924466346,0.2193816277621615,7.175018826350532e-07
12,1.52,-20.275423045593648,-20.27537655590044,0.0004727509350548237,0.039502766927083335,0.2218935787141323,0.04096142073194783,0.2213915903395226,2.292908665995863e-06
12,1.5,-20.064624685045146,-20.064669905412302,0.0004104555654018372,0.04396809895833333,0.22372218821843465,0.04450155054561228,0.22351545071077966,2.253736008798186e-06
12,1.48,-19.85473646848118,-19.855371039258316,0.0006389625404658241,0.0488818359375,0.22626942028204602,0.048404962207624615,0.2257597773966936,3.1960674882022146e-05
12,1.46,-19.645806754951025,-19.645931736867787,0.00046426998199195244,0.05431070963541667,0.22824093926681416,0.052714509590766546,0.2281310007045082,6.361760467336446e-06
12,1.44,-19.437887925291182,-19.438247599998718,0.0005543156711450242,0.05861490885416667,0.23055572041140662,0.057478596947180216,0.2306351698832779,1.8503795727087963e-05
12,1.42,-19.231036854722664,-19.231234305071702,0.00045570627907144396,0.06322835286458334,0.2338268824252817,0.06275189870610835,0.23327761431952818,1.0267275266001856e-05
12,1.4,-19.02531545232482,-19.025418785383224,5.423922358002071e-05,0.06939697265625,0.2352212238146199,0.06859614702752344,0.2360624775703859,5.431345339002772e-06
12,1.38,-18.820791276279756,-18.820713061434944,0.00042412738753462174,0.07542643229166666,0.23838908681869503,0.07508097768248688,0.2389920842496472,4.155768143020821e-06
12,1.36,-18.617538234008595,-18.617648148058215,0.0002987367451602121,0.08262776692708333,0.24151656489306023,0.08228481432926904,0.24206608931212148,5.903790728859653e-06
12,1.34,-18.415637375870762,-18.415263051906656,0.0004218906432319308,0.09053466796875,0.24475513405203816,0.09029575538397515,0.2452803474104671,2.0326419144012007e-05
12,1.32,-18.21517778952518,-18.215353007261584,0.0003559193039551885,0.09807779947916667,0.24761815844376883,0.09921240433779159,0.24862542764741274,9.619326170186884e-06
12,1.3,-18.016257598677566,-18.016204724511773,0.0003378009042453413,0.10814778645833334,0.2520719599299961,0.10914455091412084,0.25208468827144176,2.934802941330138e-06
12,1.28,-17.818985063793026,-17.818956120694054,3.977611644975252e-05,0.12052408854166667,0.25577342324786717,0.12021356384356997,0.25563182063508944,1.6242843724322787e-06
